class,subject,LTminutes,LThour,LT2to5h,LTabove5h,L1,L2,L3,L4,coursebook,notebook,notebooks,apps,websites,flashards,books,prosGoodMark,prosInterest,prosPositivMark,prosJoy,prosJob,prosStudies,badWellBeing,busySchedule,hatred,entertainment,socialLife,attitude,determination,goodSchedule,goodScheduleLearn,joyResignation,teacher,questions,grade,gradeEvaluation,motivationAfter,actualMotivation,sex
pierwszej,maturalny,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,prawidlowyPrzebieg,nieTak,2,nizsza,chcePracowac,2,M
pierwszej,maturalny,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,pilnowal,takNie,2,nizsza,mocnoMaleje,1,BO
drugiej,maturalny,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,pilnowal,nieNie,5,dokladnie,bezZmian,2,M
trzeciej,maturalny,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,prawidlowyPrzebieg,takTak,4,nizsza,mocnoMaleje,3,K
pierwszej,inny,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,prawidlowyPrzebieg,nieNie,4,dokladnie,chcePracowac,3,K
drugiej,inny,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pilnowal,takTak,1,dokladnie,bezZmian,1,BO
drugiej,inny,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,prawidlowyPrzebieg,takTak,5,wyzsza,chcePracowac,3,M
trzeciej,maturalny,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,prawidlowyPrzebieg,nieNie,1,nizsza,mocnoMaleje,4,K
trzeciej,maturalny,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,prawidlowyPrzebieg,takNie,1,nizsza,lekkoMaleje,2,M
trzeciej,maturalny,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,prawidlowyPrzebieg,nieTak,4,nizsza,mocnoMaleje,4,K
drugiej,zawodowy,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,prawidlowyPrzebieg,takTak,3,wyzsza,bezZmian,1,M
drugiej,maturalny,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,pilnowal,takNie,1,nizsza,mocnoMaleje,3,K
